SRR Overall_alignment_rate Total_reads_bowtie2 Total_reads_markdup Total_duplicates Estimated_unique_lib_size
SRR7245880 98.46 9157531 18315062 11476477 3544723
SRR7245881 98.57 8778355 17556710 9824349 4305927
SRR7245882 98.42 10039425 20078850 11808761 4442157
SRR7245883 98.59 8043265 16086530 9296271 3708495
SRR7245884 98.66 7662599 15325198 7187122 5134637
SRR7245885 98.57 8358960 16717920 8953942 4450024
SRR7245886 98.57 8645915 17291830 10197987 3823587
SRR7245887 98.60 7598657 15197314 9459839 2999279
SRR7245888 98.35 9186645 18373290 11468431 3573576
SRR7245889 98.65 7080391 14160782 6849499 4509197
SRR7245890 98.36 9538055 19076110 10497223 4795982
SRR7245891 98.63 6284185 12568370 7026741 3094587
SRR7245892 98.60 7651407 15302814 8794199 3568923
SRR7245893 98.69 10128422 20256844 14159794 3014832
SRR7245894 98.71 7342082 14684164 10037310 2325567
SRR7245895 98.65 6193368 12386736 7502121 2600987
SRR7245896 98.71 10922874 21845748 12975040 4784426
SRR7245897 98.69 10967021 21934042 12128935 5523003
SRR7245898 98.81 9303120 18606240 10661334 4392422
SRR7245899 98.52 4196327 8392654 3090390 4030041
SRR7245900 98.81 11463717 22927434 13651140 5010501
SRR7245901 98.76 12370324 24740648 15439415 4881678
SRR7245902 98.82 11769855 23539710 14166891 5031958
SRR7245903 98.88 9412845 18825690 13066481 2880753
SRR7245904 98.66 8790146 17580292 11971528 2806572
SRR7245905 98.48 8093016 16186032 11623551 2210348
SRR7245906 98.57 9116323 18232646 13433892 2308431
SRR7245907 98.46 6381070 12762140 9189354 1728448
SRR7245908 98.50 7968329 15936658 11473105 2162296
SRR7245909 98.53 7789468 15578936 11734529 1828299
SRR7245910 98.63 9667709 19335418 14311588 2419061
SRR7245911 97.95 9052962 18105924 10331959 4197232
SRR7245912 97.99 10872715 21745430 12135521 5270033
SRR7245913 98.12 21462992 42925984 21739697 12461969
SRR7245914 98.02 10056788 20113576 11687873 4506195
SRR7245915 97.97 26538314 53076628 33675547 9824471
SRR7245916 97.83 12542462 25084924 16741991 4088525
SRR7245917 98.63 16160084 32320168 18678928 7459544
SRR7245918 98.72 12402455 24804910 15123583 5142534
SRR7245919 98.86 16043944 32087888 21775034 5205939
SRR7245920 98.80 14014637 28029274 17686970 5404687
SRR7245921 98.58 13551487 27102974 18295314 4409851
SRR7245922 98.62 9551156 19102312 12981781 3060296
SRR7245923 98.85 12470777 24941554 19187077 2756377
SRR7245924 98.75 11191113 22382226 17275842 2431037
SRR7245925 98.71 12818732 25637464 19911110 2714531
SRR7245926 98.76 13353237 26706474 20890044 2757172
SRR7245927 98.39 13905800 27811600 21581789 2907907
SRR7245928 98.66 15362624 30725248 23564211 3401569
SRR7245929 98.74 12678095 25356190 19511369 2784216
SRR7245930 98.71 13573887 27147774 21112370 2858788
SRR7245931 98.80 12730542 25461084 20074432 2550611
SRR7245932 98.77 13908903 27817806 21696826 2905568
SRR7245933 97.52 14298354 28596708 18150546 5211160
SRR7245934 98.64 16019249 32038498 21607693 5235482
SRR7245935 98.71 13611327 27222654 18778617 4206651
SRR7245936 98.70 15329559 30659118 21136423 4742013
SRR7245937 98.55 13849620 27699240 20257736 3587903
SRR7245938 98.20 12824267 25648534 17428558 4041369
SRR7245939 98.71 11967226 23934452 14411361 5095174
SRR7245940 98.72 12017311 24034622 16212004 3939392
SRR7245941 98.69 7279169 14558338 7885652 3811816
SRR7245942 98.58 6714088 13428176 8348894 2657600
SRR7245943 98.66 9272990 18545980 10408201 4539199
SRR7245944 98.45 6469426 12938852 6736559 3613911
SRR7245945 98.58 6188900 12377800 5521002 4484478
SRR7245946 98.62 6986435 13972870 6994926 4198766
SRR7245947 98.68 13249444 26498888 14202713 7066984
SRR7245948 98.54 12463261 24926522 12434556 7512820
