Run,Keyword,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,cell_type,donor_id,cell_line,supplemented_with,disease_state,tissue,celltype,clone_id
SRR7652131,,ATAC-seq,76,2069023696,PRJNA484872,SAMN09771150,837685568,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4514608,GSM3320599,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320599,CD34+ hematopoietic cells,SRP156531,,,,,,,primary hematopoietic cells,
SRR7652134,,RNA-Seq,152,365142152,PRJNA484873,SAMN09771147,150921777,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4514609,GSM3320600,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320600,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652135,,RNA-Seq,152,329568376,PRJNA484873,SAMN09771145,136838685,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4514610,GSM3320601,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320601,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652136,,RNA-Seq,152,47167728,PRJNA484873,SAMN09771141,19540564,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4514611,GSM3320602,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320602,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652137,,RNA-Seq,152,350338112,PRJNA484873,SAMN09771189,144861920,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4514612,GSM3320603,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320603,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652138,,RNA-Seq,152,40740256,PRJNA484873,SAMN09771184,16950414,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4514613,GSM3320604,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320604,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652139,,RNA-Seq,152,318373424,PRJNA484873,SAMN09771178,131963533,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4514614,GSM3320605,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320605,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652140,,RNA-Seq,152,42598152,PRJNA484873,SAMN09771173,17719205,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4514615,GSM3320606,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320606,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652141,,RNA-Seq,152,296926376,PRJNA484873,SAMN09771315,123152039,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4514616,GSM3320607,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320607,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652142,,RNA-Seq,152,37531992,PRJNA484873,SAMN09771364,15637545,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4514617,GSM3320608,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320608,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
