Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7245880_1	57.09445161346064	46.0	75.0	30.0	9157531.0
SRR7245880_2	50.93412980638028	46.0	75.0	30.0	9157531.0
SRR7245881_1	51.36624939582064	46.0	75.0	30.0	8778355.0
SRR7245881_2	45.597751195481365	46.0	75.0	20.0	8778355.0
SRR7245882_1	53.732630653865534	47.0	75.0	30.0	10039425.0
SRR7245882_2	47.60170283189004	46.0	75.0	20.0	10039425.0
SRR7245883_1	53.06989523196646	46.0	75.0	30.0	8043265.0
SRR7245883_2	47.39699473507133	46.0	75.0	20.0	8043265.0
SRR7245884_1	43.923902548513475	46.0	75.0	20.0	7662599.0
SRR7245884_2	39.130934406951056	46.0	75.0	20.0	7662599.0
SRR7245885_1	48.86533701802136	46.0	75.0	20.0	8358960.0
SRR7245885_2	43.624562583110524	46.0	75.0	20.0	8358960.0
SRR7245886_1	54.16194423407205	46.0	75.0	30.0	8645915.0
SRR7245886_2	48.32568686999495	46.0	75.0	20.0	8645915.0
SRR7245887_1	57.4186101845526	46.0	75.0	30.0	7598657.0
SRR7245887_2	50.941094915405984	46.0	75.0	30.0	7598657.0
SRR7245888_1	56.26608848543933	49.0	75.0	30.0	9186645.0
SRR7245888_2	50.94185694038682	49.0	75.0	30.0	9186645.0
SRR7245889_1	44.88193855159407	46.0	75.0	20.0	7080391.0
SRR7245889_2	40.002047714537014	46.0	75.0	20.0	7080391.0
SRR7245890_1	50.10653096716183	46.0	75.0	30.0	9538055.0
SRR7245890_2	44.52574612980901	46.0	75.0	20.0	9538055.0
SRR7245891_1	52.56966233779817	46.0	75.0	30.0	6284185.0
SRR7245891_2	46.65587690245555	46.0	75.0	20.0	6284185.0
SRR7245892_1	53.059999733100135	46.0	75.0	30.0	7651407.0
SRR7245892_2	47.40107198211284	46.0	75.0	20.0	7651407.0
SRR7245893_1	63.56809406670001	46.0	75.0	30.0	10128422.0
SRR7245893_2	57.06056066828814	46.0	75.0	30.0	10128422.0
SRR7245894_1	75.75730352879168	46.0	38.0	20.0	7342082.0
SRR7245894_2	73.39202015416399	46.0	38.0	20.0	7342082.0
SRR7245895_1	68.90899203242783	46.0	38.0	20.0	6193368.0
SRR7245895_2	66.77561499568142	46.0	38.0	20.0	6193368.0
SRR7245896_1	65.31097340252322	46.0	38.0	20.0	10922874.0
SRR7245896_2	63.43635074722302	47.0	38.0	20.0	10922874.0
SRR7245897_1	61.835958063778754	46.0	38.0	20.0	10967021.0
SRR7245897_2	59.688558524235866	47.0	38.0	20.0	10967021.0
SRR7245898_1	64.1588408039153	46.0	38.0	20.0	9303120.0
SRR7245898_2	62.01083776089932	46.0	38.0	20.0	9303120.0
SRR7245899_1	42.04966093690131	47.0	38.0	10.0	4196327.0
SRR7245899_2	39.73063142721812	47.0	38.0	10.0	4196327.0
SRR7245900_1	65.69523738373496	46.0	38.0	20.0	11463717.0
SRR7245900_2	63.53196545289945	47.0	38.0	20.0	11463717.0
SRR7245901_1	68.37705511995809	46.0	38.0	20.0	12370324.0
SRR7245901_2	66.1196922917479	46.0	38.0	20.0	12370324.0
SRR7245902_1	66.39694592006678	46.0	38.0	20.0	11769855.0
SRR7245902_2	64.2076320972908	46.0	38.0	20.0	11769855.0
SRR7245903_1	64.01289293158061	46.0	75.0	30.0	9412845.0
SRR7245903_2	57.710940195120585	46.0	75.0	30.0	9412845.0
SRR7245904_1	62.651937631642966	46.0	75.0	30.0	8790146.0
SRR7245904_2	56.03050605768424	46.0	75.0	30.0	8790146.0
SRR7245905_1	66.3044399328601	46.0	75.0	30.0	8093016.0
SRR7245905_2	59.074995479517796	46.0	75.0	30.0	8093016.0
SRR7245906_1	67.62937177519967	46.0	75.0	30.0	9116323.0
