SRRfile	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bam/SRR7245880.bam	chrM	1	16569	1442284	16569	100	5945.85	33.8	21.2
bam/SRR7245881.bam	chrM	1	16569	1374148	16569	100	5666.64	33.8	21.3
bam/SRR7245882.bam	chrM	1	16569	1492430	16569	100	6162.66	33.8	21.2
bam/SRR7245883.bam	chrM	1	16569	1350080	16569	100	5549.92	33.8	21.2
bam/SRR7245884.bam	chrM	1	16569	1229958	16569	100	5086.11	33.8	21.4
bam/SRR7245885.bam	chrM	1	16569	1282612	16569	100	5270.33	33.8	21.1
bam/SRR7245886.bam	chrM	1	16569	1370555	16569	100	5658.97	33.8	21.3
bam/SRR7245887.bam	chrM	1	16569	1362821	16569	100	5647.13	33.8	21.4
bam/SRR7245888.bam	chrM	1	16569	951475	16569	100	3657.51	34.2	19.2
bam/SRR7245889.bam	chrM	1	16569	1197949	16569	100	4924.33	33.8	21.2
bam/SRR7245890.bam	chrM	1	16569	1379214	16569	100	5678.77	33.8	21.2
bam/SRR7245891.bam	chrM	1	16569	1263546	16569	100	5238.03	33.8	21.5
bam/SRR7245892.bam	chrM	1	16569	1323646	16569	100	5437.94	33.8	21.2
bam/SRR7245893.bam	chrM	1	16569	1577518	16569	100	6511.41	33.8	21.3
bam/SRR7245894.bam	chrM	1	16569	1406664	16569	100	3209.32	34.4	29.7
bam/SRR7245895.bam	chrM	1	16569	1238712	16569	100	2825.81	34.4	29.6
bam/SRR7245896.bam	chrM	1	16569	1538808	16569	100	3511.15	34.4	29.7
bam/SRR7245897.bam	chrM	1	16569	1633537	16569	100	3723.77	34.3	29.6
bam/SRR7245898.bam	chrM	1	16569	1547216	16569	100	3525.84	34.3	29.6
bam/SRR7245899.bam	chrM	1	16569	621657	16569	100	1412.88	33.6	28.5
bam/SRR7245900.bam	chrM	1	16569	1715456	16569	100	3911.61	34.3	29.7
bam/SRR7245901.bam	chrM	1	16569	1806747	16569	100	4116.32	34.4	29.6
bam/SRR7245902.bam	chrM	1	16569	1732380	16569	100	3949.71	34.3	29.7
bam/SRR7245903.bam	chrM	1	16569	1535949	16569	100	6387.85	33.9	21.5
bam/SRR7245904.bam	chrM	1	16569	1477404	16569	100	6111.54	33.8	21.3
bam/SRR7245905.bam	chrM	1	16569	1498824	16569	100	6209.59	33.8	21.4
bam/SRR7245906.bam	chrM	1	16569	1572827	16569	100	6533.81	33.8	21.5
bam/SRR7245907.bam	chrM	1	16569	1304099	16569	100	5371.86	33.8	21.2
bam/SRR7245908.bam	chrM	1	16569	1502366	16569	100	6235.64	33.8	21.5
bam/SRR7245909.bam	chrM	1	16569	1433896	16569	100	5921.82	33.9	21.3
bam/SRR7245910.bam	chrM	1	16569	1393413	16569	100	5745.73	33.7	21
bam/SRR7245911.bam	chrM	1	16569	1407544	16569	100	5788.81	32.8	20.5
bam/SRR7245912.bam	chrM	1	16569	1515901	16569	100	6250.4	32.8	20.6
bam/SRR7245913.bam	chrM	1	16569	1852853	16569	100	7695.97	32.9	20.8
bam/SRR7245914.bam	chrM	1	16569	1485564	16569	100	6129.38	32.7	20.5
bam/SRR7245915.bam	chrM	1	16569	2159030	16569	100	8915.19	33	20.6
bam/SRR7245916.bam	chrM	1	16569	1695327	16569	100	7016.34	32.8	20.6
bam/SRR7245917.bam	chrM	1	16569	1768991	16569	100	4030.46	34.4	29.4
bam/SRR7245918.bam	chrM	1	16569	1649648	16569	100	3760.15	34.4	29.4
bam/SRR7245919.bam	chrM	1	16569	1904012	16569	100	4340.39	34.4	29.5
bam/SRR7245920.bam	chrM	1	16569	1750312	16569	100	3988.22	34.4	29.4
bam/SRR7245921.bam	chrM	1	16569	1759250	16569	100	4008.97	34.4	29.3
bam/SRR7245922.bam	chrM	1	16569	1570260	16569	100	3578.54	34.4	29.4
bam/SRR7245923.bam	chrM	1	16569	1929701	16569	100	4403.41	34.4	29.7
bam/SRR7245924.bam	chrM	1	16569	1830563	16569	100	4174.77	34.4	29.6
bam/SRR7245925.bam	chrM	1	16569	1945522	16569	100	4437.32	34.4	29.6
bam/SRR7245926.bam	chrM	1	16569	2001013	16569	100	4564.06	34.4	29.6
bam/SRR7245927.bam	chrM	1	16569	2023234	16569	100	4613.98	34.3	29.6
bam/SRR7245928.bam	chrM	1	16569	2100425	16569	100	4789.21	34.4	29.6
bam/SRR7245929.bam	chrM	1	16569	1884696	16569	100	4300.33	34.4	29.6
bam/SRR7245930.bam	chrM	1	16569	1992336	16569	100	4545.56	34.4	29.7
bam/SRR7245931.bam	chrM	1	16569	1919454	16569	100	4380.49	34.4	29.6
bam/SRR7245932.bam	chrM	1	16569	2005071	16569	100	4574.91	34.4	29.7
bam/SRR7245933.bam	chrM	1	16569	1715224	16569	100	3910.61	34.4	29.4
bam/SRR7245934.bam	chrM	1	16569	1852506	16569	100	4225.17	34.4	29.5
bam/SRR7245935.bam	chrM	1	16569	1757528	16569	100	4006.61	34.4	29.4
bam/SRR7245936.bam	chrM	1	16569	1785638	16569	100	4072.32	34.4	29.4
bam/SRR7245937.bam	chrM	1	16569	1801887	16569	100	4107.72	34.4	29.4
bam/SRR7245938.bam	chrM	1	16569	1681536	16569	100	3833.6	34.4	29.4
bam/SRR7245939.bam	chrM	1	16569	1586305	16569	100	3617.29	34.4	29.4
bam/SRR7245940.bam	chrM	1	16569	1628980	16569	100	3715.7	34.4	29.5
bam/SRR7245941.bam	chrM	1	16569	1328911	16569	100	3033.9	34.4	29.8
bam/SRR7245942.bam	chrM	1	16569	1358634	16569	100	3100.72	34.4	29.7
bam/SRR7245943.bam	chrM	1	16569	1260696	16569	100	2878.87	34.5	29.8
bam/SRR7245944.bam	chrM	1	16569	1097580	16569	100	2502.55	34.3	29.5
bam/SRR7245945.bam	chrM	1	16569	1154009	16569	100	2636.07	34.3	29.9
bam/SRR7245946.bam	chrM	1	16569	1257334	16569	100	2869.21	34.4	29.7
bam/SRR7245947.bam	chrM	1	16569	1724042	16569	100	3931.74	34.3	29.6
bam/SRR7245948.bam	chrM	1	16569	1638360	16569	100	3736.75	34.3	29.7
