SRRfile	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR7245880_sorted.bam	chrM	1	16569	4871372	16564	99.9698	18280.1	34.9	32.7
SRR7245881_sorted.bam	chrM	1	16569	4230895	16566	99.9819	15941.4	34.9	32.8
SRR7245882_sorted.bam	chrM	1	16569	5020902	16567	99.9879	18927.8	34.9	32.8
SRR7245883_sorted.bam	chrM	1	16569	4010957	16563	99.9638	15040.4	34.9	32.7
SRR7245884_sorted.bam	chrM	1	16569	3253597	16568	99.994	12426.1	35	32.9
SRR7245885_sorted.bam	chrM	1	16569	3831239	16552	99.8974	14363.6	34.9	32.7
SRR7245886_sorted.bam	chrM	1	16569	4388383	16561	99.9517	16591.2	34.9	32.8
SRR7245887_sorted.bam	chrM	1	16569	4152638	16569	100	15806.6	34.9	33
SRR7245888_sorted.bam	chrM	1	16569	3879126	16421	99.1068	13217.2	35	30.9
SRR7245889_sorted.bam	chrM	1	16569	3067500	16559	99.9396	11589.8	34.9	32.8
SRR7245890_sorted.bam	chrM	1	16569	4464067	16568	99.994	16756.5	34.9	32.7
SRR7245891_sorted.bam	chrM	1	16569	3291189	16564	99.9698	12626.4	34.9	33
SRR7245892_sorted.bam	chrM	1	16569	3843768	16516	99.6801	14425.9	34.9	32.6
SRR7245893_sorted.bam	chrM	1	16569	5947562	16569	100	22333.8	34.9	32.6
SRR7245894_sorted.bam	chrM	1	16569	7960111	16569	100	17387	35	36.7
SRR7245895_sorted.bam	chrM	1	16569	6070653	16569	100	13264.7	35	36.8
SRR7245896_sorted.bam	chrM	1	16569	10033740	16569	100	21923.8	35	36.8
SRR7245897_sorted.bam	chrM	1	16569	9463935	16569	100	20590.5	35	36.8
SRR7245898_sorted.bam	chrM	1	16569	8417380	16569	100	18293.6	34.9	36.8
SRR7245899_sorted.bam	chrM	1	16569	2389940	16569	100	5061.9	34.7	36.9
SRR7245900_sorted.bam	chrM	1	16569	10611069	16569	100	23079.7	34.9	36.7
SRR7245901_sorted.bam	chrM	1	16569	11873534	16569	100	25842.5	35	36.7
SRR7245902_sorted.bam	chrM	1	16569	10972536	16569	100	23874.6	35	36.8
SRR7245903_sorted.bam	chrM	1	16569	5604441	16553	99.9034	21481.3	35	33.1
SRR7245904_sorted.bam	chrM	1	16569	5095179	16569	100	19269.5	34.9	32.8
SRR7245905_sorted.bam	chrM	1	16569	5019141	16550	99.8853	19056.4	34.9	32.8
SRR7245906_sorted.bam	chrM	1	16569	5771752	16563	99.9638	21950.3	34.9	32.9
SRR7245907_sorted.bam	chrM	1	16569	3997050	16563	99.9638	15035.8	34.9	32.8
SRR7245908_sorted.bam	chrM	1	16569	4995970	16567	99.9879	19006.4	34.9	32.9
SRR7245909_sorted.bam	chrM	1	16569	4998939	16567	99.9879	18920	35	32.8
SRR7245910_sorted.bam	chrM	1	16569	5769725	16528	99.7525	21738	34.9	33
SRR7245911_sorted.bam	chrM	1	16569	4106886	16568	99.994	14577.2	34.7	32.4
SRR7245912_sorted.bam	chrM	1	16569	4781439	16567	99.9879	17063.9	34.7	32.4
SRR7245913_sorted.bam	chrM	1	16569	8194014	16569	100	29615.1	34.7	32.8
SRR7245914_sorted.bam	chrM	1	16569	4608413	16569	100	16419.5	34.7	32.6
SRR7245915_sorted.bam	chrM	1	16569	12308666	16569	100	43708.4	34.7	32.3
SRR7245916_sorted.bam	chrM	1	16569	6436305	16569	100	22988.2	34.7	32.6
SRR7245917_sorted.bam	chrM	1	16569	13805088	16569	100	29984.2	34.9	36.8
SRR7245918_sorted.bam	chrM	1	16569	11429335	16569	100	24825.3	34.9	36.8
SRR7245919_sorted.bam	chrM	1	16569	16173381	16569	100	35179.1	34.9	36.8
SRR7245920_sorted.bam	chrM	1	16569	13212735	16569	100	28684.7	34.9	36.8
SRR7245921_sorted.bam	chrM	1	16569	13627823	16569	100	29532.6	34.9	36.7
SRR7245922_sorted.bam	chrM	1	16569	9982398	16569	100	21691.7	34.9	36.7
SRR7245923_sorted.bam	chrM	1	16569	14701569	16569	100	32035.3	35	36.8
SRR7245924_sorted.bam	chrM	1	16569	13237112	16569	100	28794.8	35	36.8
SRR7245925_sorted.bam	chrM	1	16569	15146285	16569	100	32959.8	35	36.8
SRR7245926_sorted.bam	chrM	1	16569	15856050	16569	100	34491	34.9	36.8
SRR7245927_sorted.bam	chrM	1	16569	16317548	16569	100	35442.5	34.9	36.8
SRR7245928_sorted.bam	chrM	1	16569	17712376	16569	100	38567.4	35	36.8
SRR7245929_sorted.bam	chrM	1	16569	14849364	16569	100	32344.9	35	36.8
SRR7245930_sorted.bam	chrM	1	16569	16037572	16569	100	34918.7	35	36.8
