SRRfile	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR7245880	chrM	1	16569	691304	16545	99.8552	2791.88	35.1	33.5
SRR7245881	chrM	1	16569	658971	16515	99.6741	2662.08	35.1	33.6
SRR7245882	chrM	1	16569	714190	16506	99.6198	2883.82	35.1	33.6
SRR7245883	chrM	1	16569	643610	16480	99.4629	2590.96	35.1	33.5
SRR7245884	chrM	1	16569	595022	16529	99.7586	2407.02	35.1	33.6
SRR7245885	chrM	1	16569	609278	16457	99.324	2451.29	35.1	33.5
SRR7245886	chrM	1	16569	658521	16507	99.6258	2662.6	35.1	33.6
SRR7245887	chrM	1	16569	654864	16556	99.9215	2652.94	35.1	33.6
SRR7245888	chrM	1	16569	418597	16177	97.6341	1621.18	35.2	32.7
SRR7245889	chrM	1	16569	571907	16485	99.493	2298.57	35.1	33.5
SRR7245890	chrM	1	16569	660904	16534	99.7888	2662.7	35.1	33.5
SRR7245891	chrM	1	16569	612586	16519	99.6982	2477.51	35.1	33.6
SRR7245892	chrM	1	16569	633807	16480	99.4629	2551.12	35.1	33.5
SRR7245893	chrM	1	16569	759687	16497	99.5655	3072.95	35.1	33.6
SRR7245894	chrM	1	16569	1068416	16569	100	2371.52	35.1	36.8
SRR7245895	chrM	1	16569	938877	16569	100	2084.49	35.1	36.9
SRR7245896	chrM	1	16569	1168919	16569	100	2597.61	35.1	36.9
SRR7245897	chrM	1	16569	1236174	16569	100	2736.11	35.1	36.9
SRR7245898	chrM	1	16569	1169453	16569	100	2586.3	35.1	36.9
SRR7245899	chrM	1	16569	446261	16569	100	964.192	34.9	36.8
SRR7245900	chrM	1	16569	1299705	16569	100	2876.95	35.1	36.9
SRR7245901	chrM	1	16569	1367606	16569	100	3028.46	35.1	36.8
SRR7245902	chrM	1	16569	1313509	16569	100	2908.46	35.1	36.9
SRR7245903	chrM	1	16569	746049	16537	99.8069	3044.15	35.1	33.7
SRR7245904	chrM	1	16569	710894	16515	99.6741	2881.35	35.1	33.6
SRR7245905	chrM	1	16569	721779	16480	99.4629	2924.91	35.1	33.6
SRR7245906	chrM	1	16569	762792	16498	99.5715	3099.76	35.1	33.7
SRR7245907	chrM	1	16569	623428	16525	99.7344	2514.75	35.1	33.6
SRR7245908	chrM	1	16569	728058	16540	99.825	2954.26	35.1	33.6
SRR7245909	chrM	1	16569	689611	16512	99.656	2796.55	35.1	33.6
SRR7245910	chrM	1	16569	653634	16437	99.2033	2640.15	35.1	33.6
SRR7245911	chrM	1	16569	621933	16549	99.8793	2403.15	34.9	33.4
SRR7245912	chrM	1	16569	675051	16559	99.9396	2621.22	34.9	33.5
SRR7245913	chrM	1	16569	833198	16563	99.9638	3263.63	34.9	33.6
SRR7245914	chrM	1	16569	653790	16547	99.8672	2526.94	34.8	33.5
SRR7245915	chrM	1	16569	969993	16569	100	3792.09	34.9	33.5
SRR7245916	chrM	1	16569	752076	16567	99.9879	2923.46	34.9	33.5
SRR7245917	chrM	1	16569	1327867	16569	100	2946.48	35.1	36.8
SRR7245918	chrM	1	16569	1240269	16569	100	2751.68	35.1	36.9
SRR7245919	chrM	1	16569	1434043	16569	100	3185.69	35.1	36.9
SRR7245920	chrM	1	16569	1314926	16569	100	2916.45	35.1	36.8
SRR7245921	chrM	1	16569	1319005	16568	99.994	2924.07	35.1	36.8
SRR7245922	chrM	1	16569	1182159	16569	100	2621.47	35.1	36.8
SRR7245923	chrM	1	16569	1465469	16569	100	3251.01	35.1	36.9
SRR7245924	chrM	1	16569	1384958	16569	100	3067.95	35.1	36.9
SRR7245925	chrM	1	16569	1474109	16569	100	3267.05	35.1	36.9
SRR7245926	chrM	1	16569	1515623	16569	100	3357.73	35.1	36.9
SRR7245927	chrM	1	16569	1530454	16569	100	3389.04	35.1	36.9
SRR7245928	chrM	1	16569	1590783	16569	100	3527.68	35.1	36.9
SRR7245929	chrM	1	16569	1428183	16569	100	3168.58	35.1	36.9
SRR7245930	chrM	1	16569	1510942	16569	100	3349.67	35.1	36.9
SRR7245931	chrM	1	16569	1452799	16569	100	3219.9	35.1	36.9
SRR7245932	chrM	1	16569	1520416	16569	100	3372.02	35.1	36.9
SRR7245933	chrM	1	16569	1290457	16569	100	2866.14	35.1	36.9
SRR7245934	chrM	1	16569	1392985	16569	100	3093.57	35.1	36.9
SRR7245935	chrM	1	16569	1323013	16569	100	2938.63	35.1	36.9
SRR7245936	chrM	1	16569	1341437	16569	100	2979.22	35.1	36.9
SRR7245937	chrM	1	16569	1353228	16569	100	3003.86	35.1	36.9
SRR7245938	chrM	1	16569	1262248	16569	100	2801.41	35.1	36.9
SRR7245939	chrM	1	16569	1193750	16569	100	2649.13	35.1	36.8
SRR7245940	chrM	1	16569	1226324	16569	100	2722.76	35.1	36.9
SRR7245941	chrM	1	16569	1012363	16569	100	2245.89	35.1	36.9
SRR7245942	chrM	1	16569	1032647	16569	100	2290.33	35.1	36.9
SRR7245943	chrM	1	16569	963983	16569	100	2147.28	35.2	36.9
SRR7245944	chrM	1	16569	828218	16569	100	1833.49	35.1	36.8
SRR7245945	chrM	1	16569	880277	16568	99.994	1949.9	35.1	36.9
SRR7245946	chrM	1	16569	956148	16569	100	2121.56	35.1	36.9
SRR7245947	chrM	1	16569	1305797	16569	100	2889.61	35.1	36.9
SRR7245948	chrM	1	16569	1243840	16569	100	2754.22	35.1	36.9
