SRRfile	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR7245880.bam	chrM	1	16569	549168	16507	99.6258	2326.78	35.1	36.2
SRR7245881.bam	chrM	1	16569	524107	16486	99.4991	2220.42	35.1	36.2
SRR7245882.bam	chrM	1	16569	567393	16463	99.3603	2402.39	35.1	36.2
SRR7245883.bam	chrM	1	16569	508503	16425	99.1309	2151.93	35.1	36.2
SRR7245884.bam	chrM	1	16569	474724	16429	99.155	2012.51	35.1	36.2
SRR7245885.bam	chrM	1	16569	481094	16383	98.8774	2035.33	35.1	36.2
SRR7245886.bam	chrM	1	16569	524757	16394	98.9438	2223.96	35.1	36.2
SRR7245887.bam	chrM	1	16569	524012	16504	99.6077	2219.47	35.1	36.2
SRR7245888.bam	chrM	1	16569	302780	16156	97.5074	1281.51	35.2	36.3
SRR7245889.bam	chrM	1	16569	450159	16395	98.9498	1903.96	35.1	36.3
SRR7245890.bam	chrM	1	16569	523374	16437	99.2033	2215.75	35.1	36.2
SRR7245891.bam	chrM	1	16569	488636	16413	99.0585	2070.76	35.1	36.2
SRR7245892.bam	chrM	1	16569	500534	16376	98.8352	2119.9	35.1	36.2
SRR7245893.bam	chrM	1	16569	605185	16476	99.4387	2567.91	35.1	36.2
SRR7245894.bam	chrM	1	16569	1034491	16569	100	2303.48	35.1	37.3
SRR7245895.bam	chrM	1	16569	909055	16568	99.994	2024.66	35.1	37.3
SRR7245896.bam	chrM	1	16569	1132617	16569	100	2524.68	35.1	37.3
SRR7245897.bam	chrM	1	16569	1194932	16569	100	2654.27	35.1	37.3
SRR7245898.bam	chrM	1	16569	1129117	16569	100	2506.67	35.1	37.3
SRR7245899.bam	chrM	1	16569	423917	16569	100	921.429	34.9	37.5
SRR7245900.bam	chrM	1	16569	1256612	16569	100	2791.2	35.1	37.3
SRR7245901.bam	chrM	1	16569	1319984	16569	100	2934.34	35.1	37.3
SRR7245902.bam	chrM	1	16569	1270104	16569	100	2822.07	35.1	37.3
SRR7245903.bam	chrM	1	16569	603296	16494	99.5473	2565.48	35.2	36.2
SRR7245904.bam	chrM	1	16569	568411	16489	99.5172	2411.92	35.1	36.2
SRR7245905.bam	chrM	1	16569	577654	16440	99.2214	2449.98	35.1	36.2
SRR7245906.bam	chrM	1	16569	613792	16454	99.3059	2605.02	35.1	36.2
SRR7245907.bam	chrM	1	16569	494892	16487	99.5051	2094.61	35.1	36.2
SRR7245908.bam	chrM	1	16569	583924	16509	99.6379	2476.95	35.1	36.2
SRR7245909.bam	chrM	1	16569	551711	16436	99.1973	2343.19	35.1	36.2
SRR7245910.bam	chrM	1	16569	518965	16357	98.7205	2193.94	35.1	36.3
SRR7245911.bam	chrM	1	16569	468047	16539	99.8189	1912.24	34.9	36.8
SRR7245912.bam	chrM	1	16569	512055	16545	99.8552	2098.22	34.9	36.7
SRR7245913.bam	chrM	1	16569	642346	16563	99.9638	2640.13	34.9	36.7
SRR7245914.bam	chrM	1	16569	493784	16494	99.5473	2013.87	34.9	36.8
SRR7245915.bam	chrM	1	16569	743256	16568	99.994	3064.01	34.9	36.7
SRR7245916.bam	chrM	1	16569	573549	16552	99.8974	2347.67	34.9	36.7
SRR7245917.bam	chrM	1	16569	1280858	16569	100	2853	35.1	37.3
SRR7245918.bam	chrM	1	16569	1197940	16569	100	2667.39	35.1	37.3
SRR7245919.bam	chrM	1	16569	1385510	16569	100	3088.59	35.1	37.3
SRR7245920.bam	chrM	1	16569	1268767	16569	100	2824.83	35.1	37.3
SRR7245921.bam	chrM	1	16569	1272359	16568	99.994	2831.39	35.1	37.3
SRR7245922.bam	chrM	1	16569	1140916	16569	100	2539.45	35.1	37.3
SRR7245923.bam	chrM	1	16569	1420628	16569	100	3161.06	35.1	37.3
SRR7245924.bam	chrM	1	16569	1340171	16569	100	2978.84	35.1	37.3
SRR7245925.bam	chrM	1	16569	1426917	16569	100	3172.75	35.1	37.3
SRR7245926.bam	chrM	1	16569	1466608	16569	100	3259.85	35.1	37.3
SRR7245927.bam	chrM	1	16569	1480592	16569	100	3289.73	35.1	37.3
SRR7245928.bam	chrM	1	16569	1538967	16569	100	3424.52	35.1	37.3
SRR7245929.bam	chrM	1	16569	1384083	16569	100	3080.06	35.1	37.3
SRR7245930.bam	chrM	1	16569	1463829	16569	100	3255.34	35.1	37.3
SRR7245931.bam	chrM	1	16569	1407884	16569	100	3129.66	35.1	37.3
SRR7245932.bam	chrM	1	16569	1473096	16568	99.994	3276.96	35.1	37.3
SRR7245933.bam	chrM	1	16569	1247405	16569	100	2780.09	35.1	37.3
SRR7245934.bam	chrM	1	16569	1347148	16569	100	3001.48	35.1	37.3
SRR7245935.bam	chrM	1	16569	1278004	16569	100	2848.69	35.1	37.3
SRR7245936.bam	chrM	1	16569	1296645	16569	100	2889.31	35.1	37.3
SRR7245937.bam	chrM	1	16569	1307444	16569	100	2912.34	35.1	37.3
SRR7245938.bam	chrM	1	16569	1219436	16569	100	2715.78	35.1	37.3
SRR7245939.bam	chrM	1	16569	1153549	16569	100	2568.67	35.1	37.3
SRR7245940.bam	chrM	1	16569	1185986	16569	100	2641.75	35.1	37.3
SRR7245941.bam	chrM	1	16569	981866	16569	100	2184.42	35.1	37.3
SRR7245942.bam	chrM	1	16569	1000342	16569	100	2225.3	35.1	37.3
SRR7245943.bam	chrM	1	16569	935866	16569	100	2090.02	35.2	37.3
SRR7245944.bam	chrM	1	16569	799633	16569	100	1776.6	35.1	37.3
SRR7245945.bam	chrM	1	16569	853854	16568	99.994	1896.38	35.1	37.3
SRR7245946.bam	chrM	1	16569	926335	16569	100	2061.55	35.1	37.3
SRR7245947.bam	chrM	1	16569	1263200	16569	100	2804.67	35.1	37.3
SRR7245948.bam	chrM	1	16569	1203526	16569	100	2673.74	35.1	37.3
